"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EU28","GDP","TOT","USD_CAP","A","2018",44670.373414,
"EU28","GDP","TOT","USD_CAP","A","2019",46176.763016,
"OECD","GDP","TOT","USD_CAP","A","2015",40488.895142,"P"
"OECD","GDP","TOT","USD_CAP","A","2016",41845.54636,"P"
"OECD","GDP","TOT","USD_CAP","A","2017",43541.545816,"P"
"OECD","GDP","TOT","USD_CAP","A","2018",45078.852389,"E"
"OECD","GDP","TOT","USD_CAP","A","2019",46372.713359,"E"
"OECDE","GDP","TOT","USD_CAP","A","2015",38527.177543,"P"
"OECDE","GDP","TOT","USD_CAP","A","2016",40493.989963,"P"
"OECDE","GDP","TOT","USD_CAP","A","2017",42573.773146,"P"
"OECDE","GDP","TOT","USD_CAP","A","2018",43900.005725,"P"
"OECDE","GDP","TOT","USD_CAP","A","2019",45086.607093,"E"
"LVA","GDP","TOT","USD_CAP","A","2015",24833.612206,
"LVA","GDP","TOT","USD_CAP","A","2016",26407.216397,
"LVA","GDP","TOT","USD_CAP","A","2017",28504.870548,
"LVA","GDP","TOT","USD_CAP","A","2018",30659.322053,
"LVA","GDP","TOT","USD_CAP","A","2019",32097.042302,
"BRA","GDP","TOT","USD_CAP","A","2015",14815.917618,
"BRA","GDP","TOT","USD_CAP","A","2016",14320.429688,
"BRA","GDP","TOT","USD_CAP","A","2017",14592.101979,
"LTU","GDP","TOT","USD_CAP","A","2015",28823.805581,
"LTU","GDP","TOT","USD_CAP","A","2016",30924.899739,
"LTU","GDP","TOT","USD_CAP","A","2017",33821.206283,
"LTU","GDP","TOT","USD_CAP","A","2018",35831.865191,
"LTU","GDP","TOT","USD_CAP","A","2019",38249.695785,
"SAU","GDP","TOT","USD_CAP","A","2015",48425.265093,
"SAU","GDP","TOT","USD_CAP","A","2016",45245.005781,
"EA19","GDP","TOT","USD_CAP","A","2015",41099.20379,
"EA19","GDP","TOT","USD_CAP","A","2016",43565.687832,
"EA19","GDP","TOT","USD_CAP","A","2017",45768.359326,
"EA19","GDP","TOT","USD_CAP","A","2018",47262.786117,
"EA19","GDP","TOT","USD_CAP","A","2019",48685.756422,
"ARG","GDP","TOT","USD_CAP","A","2015",20019.887621,
"ARG","GDP","TOT","USD_CAP","A","2016",20153.008006,
"ARG","GDP","TOT","USD_CAP","A","2017",23562.918839,
"ARG","GDP","TOT","USD_CAP","A","2018",23299.982767,
"CRI","GDP","TOT","USD_CAP","A","2015",17129.91448,
"CRI","GDP","TOT","USD_CAP","A","2016",18050.485401,
"CRI","GDP","TOT","USD_CAP","A","2017",19132.316344,"E"
"CRI","GDP","TOT","USD_CAP","A","2018",19895.818642,"E"
"BGR","GDP","TOT","USD_CAP","A","2015",18342.039892,
"BGR","GDP","TOT","USD_CAP","A","2016",20009.53859,
"BGR","GDP","TOT","USD_CAP","A","2017",21447.18693,
"BGR","GDP","TOT","USD_CAP","A","2018",22670.47239,
"HRV","GDP","TOT","USD_CAP","A","2015",22989.60823,
"HRV","GDP","TOT","USD_CAP","A","2016",24883.267327,
"HRV","GDP","TOT","USD_CAP","A","2017",26666.143784,
"HRV","GDP","TOT","USD_CAP","A","2018",28103.63248,"P"
"CYP","GDP","TOT","USD_CAP","A","2015",31722.271936,
"CYP","GDP","TOT","USD_CAP","A","2016",35609.078929,
"CYP","GDP","TOT","USD_CAP","A","2017",37915.706246,
"CYP","GDP","TOT","USD_CAP","A","2018",39858.882825,"P"
"MLT","GDP","TOT","USD_CAP","A","2015",36174.640577,
"MLT","GDP","TOT","USD_CAP","A","2016",39014.044722,
"MLT","GDP","TOT","USD_CAP","A","2017",41850.562372,
"MLT","GDP","TOT","USD_CAP","A","2018",43678.508915,
"ROU","GDP","TOT","USD_CAP","A","2015",21627.198095,
"ROU","GDP","TOT","USD_CAP","A","2016",24310.912177,
"ROU","GDP","TOT","USD_CAP","A","2017",27292.631737,
"ROU","GDP","TOT","USD_CAP","A","2018",29052.252126,"P"
"MKD","GDP","TOT","USD_CAP","A","2015",13891.9988,"E"
"MKD","GDP","TOT","USD_CAP","A","2016",15136.45706,"E"
"ZMB","GDP","TOT","USD_CAP","A","2015",3383.75171,
"ZMB","GDP","TOT","USD_CAP","A","2016",3359.029672,
"ZMB","GDP","TOT","USD_CAP","A","2017",3414.412499,
"HKG","GDP","TOT","USD_CAP","A","2015",56409.642787,"E"
"HKG","GDP","TOT","USD_CAP","A","2016",57229.735266,"E"
"HKG","GDP","TOT","USD_CAP","A","2017",59882.803146,"E"
"MDG","GDP","TOT","USD_CAP","A","2015",1549.577139,"E"
"MDG","GDP","TOT","USD_CAP","A","2016",1571.961332,"E"
"MAR","GDP","TOT","USD_CAP","A","2015",7249.754379,"E"
"MAR","GDP","TOT","USD_CAP","A","2016",7315.192009,"E"
"MAR","GDP","TOT","USD_CAP","A","2017",7582.794999,"E"
"SGP","GDP","TOT","USD_CAP","A","2015",86972.563073,
"SGP","GDP","TOT","USD_CAP","A","2016",89396.724443,
"SGP","GDP","TOT","USD_CAP","A","2017",94945.250892,
"SGP","GDP","TOT","USD_CAP","A","2018",101280.413499,
